t,x,y,vx,vy,theta,ax,ay,omega,z,vz,meas_pos_x,meas_pos_y,meas_vel_x,meas_vel_y,meas_heading_x,meas_heading_y,accel3_x,accel3_y,accel3_z,gyro3_x,gyro3_y,gyro3_z,mag3_x,mag3_y,mag3_z,gps_x,gps_y,baro
0,-19.7968291624315,2.8435110538733,-0.568702210774661,-3.95936583248631,2.9989337039793,0.791873166497262,-0.113740442154932,0.2,0,0,-19.660617622924,3.12855844085767,-0.650446332048805,-3.86168589916925,-0.949582641096559,0.313516838029608,-0.0243638016708443,-0.00425937117263942,-9.8428247346224,-0.000423585061325734,-0.00182399987755001,0.00181537217154746,-1.3679743711553,-0.173345583847718,-0.600308483217751,-18.1464111130288,3.08681737309146,0.60983601369298
0.05,-19.8494249522012,2.44955691236855,-0.48991138247371,-3.96988499044024,3.01880651087662,0.793976998088048,-0.097982276494742,0.2,0,0,-20.6637861447383,3.0577953514319,-0.457689045407073,-4.22540660440764,-0.980331717417561,0.197356843877114,-1.46930938099241,-0.0604723338253507,-9.83229800198637,0.00257589426076847,-0.0015785449712986,0.396541625476234,-1.31652253814706,0.492356641447895,0.307132656542801,-19.8824351308959,0.710678758142464,-0.535561928627065
0.1,-19.90405221613,1.95670779054257,-0.391341558108514,-3.980810443226,3.04360051174047,0.796162088645201,-0.0782683116217027,0.2,0,0,-20.5471420167144,1.42079632314843,-0.527361137738844,-4.20688124226155,-0.998673786491052,-0.05148464019128,-2.15427624645933,0.0261415059764604,-9.69054126957653,0.00224655378120756,-0.00101240801320771,0.495350799181663,-1.25113598268918,1.02763472072139,-0.256921894571503,-20.6709897711525,6.2930640275564,1.81434098161817
0.15,-19.8847542437724,2.14395631130315,-0.428791262260631,-3.97695084875447,3.03418846070866,0.795390169750895,-0.0857582524521261,0.2,0,0,-19.3894759770388,2.76713604904791,-0.492806232757008,-3.94007928112776,-0.999993796369193,0.00352238883840885,0.857670197240815,0.172439544995679,-9.79662359957358,-0.00279249343571435,-0.00148292267207572,-0.188867789064392,-0.911428552533347,-0.147672328415981,0.445873304363294,-21.825162872404,1.17244863612789,0.971567861920339
0.2,-19.9077707175546,1.91850594402914,-0.383701188805828,-3.98155414351092,3.04551963183965,0.796310828702185,-0.0767402377611656,0.2,0,0,-21.2304155539104,1.66340711627709,-0.00406809516009959,-4.16916445296479,-0.999857037869452,0.0169086907513431,-0.865468845183865,0.144821036086381,-9.7615503832968,0.00202193684527057,-0.00172347766441165,0.22488490212991,-1.13083187179495,0.214422551668964,0.516612951226462,-19.3136134961614,1.70377322541019,-0.410279527374119
0.25,-19.9137059824688,1.85588632296962,-0.371177264593925,-3.98274119649376,3.048664646773,0.796548239298753,-0.074235452918785,0.2,0,0,-19.7924140041652,0.131793747219058,-0.235750468139769,-3.81796286772867,-0.993924774425294,0.110061540892486,-0.25981439967583,-0.0139659046390185,-9.93604246253496,-0.00247766004398113,-0.00035010348225111,0.0635592433631869,-1.0862504692271,-1.04459744121377,0.339362458958096,-22.1413498216926,3.49600137128267,0.652543437952621
0.3,-19.9577161585179,1.29983296466649,-0.259966592933298,-3.99154323170358,3.07655516497879,0.798308646340716,-0.0519933185866596,0.2,0,0,-18.4731416313258,1.32271885650902,-0.441704497183981,-3.95355505921419,-0.97460756742133,0.223919828342818,-2.21658971952416,-0.00204635361796001,-9.80802410414423,-0.000737503741060166,-0.00538788958458437,0.556305734497846,-0.977798333094527,-0.521074711500286,-0.450633442692786,-17.7293314883212,1.4194754966714,0.457676530306216
0.35,-19.9738329629003,1.02273983503104,-0.204547967006209,-3.99476659258005,3.09043334843429,0.79895331851601,-0.0409095934012418,0.2,0,0,-20.1860259154728,-1.02172641463949,-0.180725084713902,-3.92423752651501,-0.999343398377178,-0.0362321972829712,-1.04864710441141,0.0847678829305631,-9.76745308573149,-0.00242139449479789,0.000656865115015307,0.278601650068004,-0.864787054443475,0.609668853647519,-0.0136946050426364,-15.6619646059101,1.13613747418503,1.38209574788452
0.4,-19.9713309977659,1.07048501982814,-0.214097003965629,-3.99426619955317,3.08804281314411,0.798853239910635,-0.0428194007931258,0.2,0,0,-20.4544590081356,2.20692633746762,-0.137638759546173,-3.96954614669596,-0.989304473862234,0.145865204885084,0.0664452218327559,0.0400715292466825,-9.63516594781596,0.000280439745673275,-0.000394251422531143,-0.0498459123868567,-0.85482357797995,-0.915874084293529,-0.081999064892852,-18.5499045779279,-1.39356963445776,-0.140603204675953
0.45,-19.986261760384,0.741175313548524,-0.148235062709705,-3.99725235207679,3.10452540021015,0.799450470415359,-0.029647012541941,0.2,0,0,-19.1972293402981,-0.0159161826676535,0.0304535851975464,-4.20770567000711,-0.999689740517349,-0.0249082858574421,-1.30203602043802,0.157940221151864,-9.90793297950129,0.00207415808493018,-0.000969264459330761,0.32811665202419,-1.57976920820626,-1.09045457952697,0.440327367224322,-18.7474812797015,-2.33967554308396,-0.893975450502356
0.5,-19.9868887057999,0.724071724324943,-0.144814344864989,-3.99737774115999,3.10538115403393,0.799475548231998,-0.0289628689729977,0.2,0,0,-20.5542303909262,2.08730041698586,-0.150887682364784,-4.27606356395367,-0.996224778796163,0.0868112326403489,-0.0952039914859138,0.120350367710218,-9.79548716053654,0.0011911186772258,0.000270835281267295,0.016694726653573,-2.17588983279419,0.238503421330368,1.02365349150471,-14.3214942261172,-1.19567886982034,-0.270011525148861
0.55,-19.9834544972186,0.813355000964958,-0.162671000192992,-3.99669089944372,3.10091368535639,0.799338179888743,-0.0325342000385983,0.2,0,0,-19.8351586525946,1.98370961481953,0.121370597784623,-3.85388551850695,-0.991794092129064,0.127845527171996,0.54428425161012,0.0344209525296477,-9.90637962136151,0.00256634146181245,0.00076622223800646,-0.0902328501204368,-0.752524896698956,-0.58336602306746,0.0354654611542868,-18.881450767177,3.47740584675786,2.00135766149468
0.6,-19.9997601315134,0.0979524472822606,-0.0195904894564521,-3.99995202630267,3.13669501164583,0.799990405260535,-0.00391809789129043,0.2,0,0,-19.9942525865928,1.36711898888095,-0.282890960843957,-4.05150491630306,-0.987027872188331,0.160548994152486,-2.80554897154027,0.0472789150821596,-10.0356024823856,-0.00428481932375708,0.000661727170207322,0.716450650310316,-0.812460138904165,0.451465496594019,0.828120235652609,-20.5192652758359,-0.275837531300659,-0.442696195147837
0.65,-19.9989000398386,0.209755087047237,-0.0419510174094474,-3.99978000796773,3.13110470696467,0.799956001593546,-0.00839020348188949,0.2,0,0,-20.2304084951137,1.40244914193596,0.0266225914091642,-3.56166360514222,-0.990554142684163,-0.137122173302656,0.261618080715169,0.121274465288799,-9.8525608277528,0.000509876560748599,0.00133109104139415,-0.110102202203385,-1.07230481918927,0.0896751194337963,0.281965162101454,-24.2779356914696,-2.46607880838677,0.0225738000473288
